abone_id,yas,cinsiyet,aylik_gelir,harcama,sehir,egitim
abone1,47,erkek,8632,Ulaşım,Kocaeli,ortaokul
abone2,54,erkek,3000,Eğitim,Malatya,lise
abone3,44,kadin,7618,Diğer,Konya,lisans
abone4,24,erkek,17844,Eğitim,Diyarbakır,lise
abone5,58,erkek,7683,Ev Giderleri,Trabzon,lise
abone6,58,kadin,9708,Eğlence,Istanbul,ortaokul
abone7,26,kadin,8558,Sağlık,Mersin,lisans
abone8,64,erkek,8603,Ev Giderleri,Izmir,yuksek lisans
abone9,43,kadin,12014,Eğlence,Ankara,lisans
abone10,62,kadin,10409,Eğlence,Manisa,lisans
abone11,31,kadin,9128,Eğitim,Denizli,yuksek lisans
abone12,30,kadin,6518,Eğlence,Mersin,lisans
abone13,39,erkek,12026,Eğlence,Şanlıurfa,lise
abone14,18,kadin,3000,Ev Giderleri,Gaziantep,yuksek lisans
abone15,68,erkek,4888,Giyim,Istanbul,lise
abone16,36,kadin,12625,Diğer,Balıkesir,ortaokul
abone17,33,kadin,3000,Ulaşım,Balıkesir,lisans
abone18,20,erkek,7297,Sağlık,Bursa,ilkokul
abone19,31,kadin,10726,Eğitim,Izmir,ilkokul
abone20,54,kadin,10727,Diğer,Izmir,ortaokul
abone21,42,kadin,8312,Ulaşım,Gaziantep,lisans
abone22,65,kadin,12124,Gıda,Antalya,lise
abone23,68,erkek,9094,Sağlık,Denizli,lisans
abone24,65,erkek,3000,Sağlık,Istanbul,lisans
abone25,23,erkek,11957,Sağlık,Manisa,lisans
abone26,35,erkek,8960,Eğlence,Gaziantep,lisans
abone27,23,erkek,3099,Ev Giderleri,Diyarbakır,lisans
abone28,39,erkek,11711,Ulaşım,Şanlıurfa,yuksek lisans
abone29,34,kadin,7244,Sağlık,Adana,lisans
abone30,28,erkek,13316,Gıda,Manisa,lise
abone31,55,erkek,15201,Sağlık,Antalya,ortaokul
abone32,60,kadin,3000,Giyim,Ankara,lisans
abone33,55,kadin,5425,Giyim,Diyarbakır,doktora
abone34,18,erkek,7708,Eğlence,Antalya,ortaokul
abone35,32,erkek,12433,Sağlık,Izmir,lisans
abone36,67,kadin,5481,Sağlık,Istanbul,ortaokul
abone37,22,erkek,8317,Eğlence,Kocaeli,lisans
abone38,22,kadin,11587,Gıda,Diyarbakır,lise
abone39,41,erkek,6273,Gıda,Gaziantep,lisans
abone40,31,kadin,8119,Ev Giderleri,Denizli,lisans
abone41,58,erkek,11022,Ev Giderleri,Manisa,doktora
abone42,19,erkek,6414,Diğer,Trabzon,lisans
abone43,48,kadin,9334,Eğitim,Mersin,lise
abone44,34,kadin,11719,Gıda,Kahramanmaraş,lisans
abone45,31,kadin,8949,Giyim,Trabzon,lise
abone46,26,kadin,7000,Eğlence,Bursa,lisans
abone47,53,erkek,6460,Sağlık,Gaziantep,ilkokul
abone48,61,erkek,7962,Eğitim,Samsun,lise
abone49,18,kadin,6901,Eğlence,Kocaeli,lise
abone50,69,erkek,11366,Ev Giderleri,Antalya,lisans
abone51,26,kadin,8539,Eğlence,Diyarbakır,lisans
abone52,31,kadin,9420,Eğitim,Konya,doktora
abone53,22,kadin,9558,Ev Giderleri,Antalya,doktora
abone54,47,erkek,8044,Giyim,Konya,lisans
abone55,20,erkek,9245,Eğlence,Gaziantep,ortaokul
abone56,56,kadin,3000,Gıda,Mersin,ilkokul
abone57,34,kadin,16396,Giyim,Gaziantep,ortaokul
abone58,63,kadin,7020,Ulaşım,Malatya,lisans
abone59,47,kadin,10221,Ulaşım,Denizli,lisans
abone60,70,erkek,3000,Ev Giderleri,Kahramanmaraş,lisans
abone61,58,kadin,12454,Gıda,Malatya,lisans
abone62,64,kadin,13312,Sağlık,Konya,lisans
abone63,25,erkek,7330,Giyim,Şanlıurfa,ilkokul
abone64,59,erkek,3000,Sağlık,Istanbul,yuksek lisans
abone65,19,kadin,5170,Giyim,Kocaeli,lisans
abone66,46,kadin,7280,Giyim,Denizli,lisans
abone67,35,kadin,4111,Diğer,Istanbul,lisans
abone68,44,erkek,7846,Eğitim,Kahramanmaraş,lisans
abone69,31,erkek,14631,Sağlık,Izmir,lise
abone70,24,kadin,3000,Diğer,Gaziantep,lise
abone71,31,kadin,6211,Diğer,Mersin,lisans
abone72,44,erkek,13651,Eğlence,Adana,lise
abone73,57,erkek,8124,Ulaşım,Istanbul,lise
abone74,63,kadin,8319,Giyim,Konya,yuksek lisans
abone75,59,kadin,7410,Gıda,Kahramanmaraş,lise
abone76,26,kadin,6110,Eğlence,Bursa,ortaokul
abone77,30,kadin,5312,Sağlık,Adana,doktora
abone78,67,kadin,9363,Eğlence,Mersin,lise
abone79,25,erkek,10270,Eğitim,Manisa,lisans
abone80,31,erkek,5654,Eğlence,Bursa,lisans
